18722	389	0
16383	16384	3
18154	382	2
26214	6230	19
6776	32553	10
3998	177	1
23530	4993	19
28801	836	9
6998	177	1
13124	382	2
16462	382	2
29232	42574	4
28346	31455	13
102	28302	8
21881	389	0
25402	389	0
14099	382	2
6708	177	1
9153	40005	10
18192	697	0
14261	12767	3
14909	6022	19
18226	27960	11
15632	403	0
1980	382	2
17432	16191	3
15478	3089	19
26981	723	3
29639	774	7
23219	7833	19
29049	29048	9
20634	5435	19
12604	6500	19
19095	389	0
27248	368	2
26982	402	3
26368	382	2
18908	403	0
8284	177	1
813	636	9
20698	400	0
17151	377	0
14819	392	0
643	547	2
23202	382	2
14197	8570	19
16635	2436	19
4063	33061	10
16628	377	0
14058	377	0
31111	43960	4
21956	4061	19
24563	9377	19
17630	185	2
28759	790	6
15952	27729	11
13245	185	2
24135	382	2
19436	403	0
20357	389	0
31902	43986	4
14331	382	2
14589	388	0
27830	30152	13
17669	17666	3
27531	766	6
17025	17026	3
18593	382	2
23220	8170	19
12977	393	0
4205	177	1
28302	31382	13
28143	29895	13
21207	415	2
27292	382	2
27754	31056	13
28290	766	6
31107	44015	4
18186	382	2
16257	415	2
29431	30955	13
13373	400	0
12919	27794	10
9620	40424	10
27569	29792	13
31484	44029	4
26447	382	2
20084	389	0
2872	177	1
13555	389	0
27279	8792	19
18540	397	0
24032	415	2
10898	177	1
15657	554	2
20076	12163	3
16558	400	0
24830	24831	3
28467	774	7
23463	382	2
13025	388	0
6152	177	1
12420	368	2
28267	774	7
8657	177	1
12115	382	2
12117	767	10
4378	177	1
2505	34534	10
19889	382	2
28860	32231	13
26962	24103	3
22913	389	0
5760	38437	10
12213	382	2
4788	39795	10
1145	44008	4
18461	397	0
19908	392	0
29604	790	6
20269	381	2
25071	388	0
24793	7509	19
19557	389	0
12133	392	0
28410	30616	13
11278	34259	10
26206	403	0
17839	636	10
24494	24495	3
7252	177	1
23962	3949	19
19295	11572	2
15291	15292	3
4483	177	1
22157	381	2
25308	7435	19
28594	27809	9
28346	30132	13
13735	12445	3
14599	382	2
17136	389	0
18412	11033	19
22395	382	2
12097	4372	19
23715	382	2
12293	12294	3
23859	392	0
15011	382	2
15464	388	0
19109	11004	19
2858	39897	10
22411	277	19
19973	400	0
28822	42876	4
28813	43405	4
29023	42802	4
394	27827	10
16219	403	0
23137	382	2
14094	11411	19
16023	415	2
4708	37601	10
27344	27345	3
9655	40352	10
9285	39087	10
26415	9468	19
22976	382	2
22495	22496	3
3264	177	1
9174	177	1
18885	9130	19
26120	382	2
19127	382	2
1856	34895	10
29520	43886	4
30388	109	12
28779	774	7
16060	389	0
25641	17114	2
14754	14755	3
4572	177	1
20078	13853	3
14991	382	2
135	29364	8
16252	415	2
14132	403	0
20881	389	0
25720	5669	19
25212	392	0
19490	389	0
19859	9847	19
12039	396	2
31136	43986	4
2155	177	1
25079	14897	2
28109	27499	9
1088	44013	4
24780	415	2
19002	28881	11
28512	756	6
1843	1842	17
28085	29872	13
16677	382	2
27557	42170	4
13811	11646	3
31131	44014	4
22351	5925	19
4875	36698	10
23341	382	2
15049	11784	2
17809	28716	10
10932	41632	10
27383	9083	19
20587	388	0
23904	453	2
29340	43856	4
29417	43847	4
31902	43987	4
25885	389	0
31540	44038	4
30432	114	12
7907	34241	10
29770	94	12
22673	382	2
30553	107	12
27229	11618	3
161	32255	14
22133	11784	2
26886	12086	3
971	756	6
802	41976	4
16106	382	2
18177	377	0
31922	43965	4
25359	389	0
19298	13551	3
11246	779	10
14413	403	0
28401	42637	4
22553	389	0
16315	16347	3
19451	389	0
17148	12174	3
22326	2916	19
4420	177	1
22680	12057	2
6231	177	1
24446	617	3
8653	34125	10
28218	853	9
29458	28587	9
26386	6561	19
28153	790	6
10437	2080	1
15685	377	0
27205	403	0
20646	389	0
18850	377	0
3144	177	1
22719	22720	3
8054	38845	10
8960	34294	10
26347	415	2
14157	6866	19
31975	44002	4
2301	36672	10
25703	382	2
132	29379	8
25016	382	2
20751	376	0
7267	37190	10
