94222	包含	115679
68514	具有	101643
54811	属于	54360
83642	用工属性	53944
54090	机器属性	53937
89537	包含	113799
86350	用工属性	53947
78605	机器属性	54060
61434	具有	101331
95397	包含	115774
81760	机器属性	53970
95376	包含	115609
77068	用工属性	53932
75475	位置	70269
68601	具有	97218
79952	用工属性	53932
85688	机器属性	53920
76213	机器属性	53937
60658	客户属性	53723
81523	所有权	62639
90738	处于	54370
56258	培训过	56305
71401	用工属性	53928
84904	用工属性	53944
76208	所有权	68638
77363	具有	54431
54322	所有权	63385
53687	创建	91401
73438	用工属性	53932
84138	机器属性	54104
72188	用工属性	53944
85029	位置	85030
83584	所有权	62285
78208	用工属性	53943
80751	用工属性	53947
83700	用工属性	53944
72539	所有权	65995
61830	具有	97611
95620	包含	115515
78781	用工属性	53947
83431	所有权	63957
72795	所有权	59492
91397	对应	55388
72030	用工属性	53943
65344	客户属性	53723
56237	包含	1176
85982	所有权	59595
73369	用工属性	53943
54241	所有权	68061
79089	用工属性	53944
95713	包含	115532
77551	具有	88056
77981	用工属性	53955
70819	机器属性	53970
74822	机器属性	53937
80495	机器属性	69752
65521	客户属性	53723
93883	指派	53443
70954	机器属性	53936
79334	机器属性	53915
85103	所有权	69009
88554	对应	93949
77654	机器属性	53937
83853	机器属性	53937
93528	指派	53464
89185	对应	93297
71348	位置	71349
89051	处于	54370
71601	用工属性	53955
71437	机器属性	54104
80137	位置	69233
92078	处理	88735
71788	所有权	65589
69302	位置	69113
83652	机器属性	78061
67558	客户属性	53723
86615	用工属性	53932
59681	客户属性	53723
72866	用工属性	53932
80255	所有权	68985
69397	机器属性	53937
92779	处理	89444
88779	处于	54384
81980	用工属性	53943
73200	位置	70437
87187	机器属性	53937
70465	机器属性	53937
76827	所有权	61641
78129	机器属性	54060
81605	用工属性	53943
70037	位置	53963
64558	客户属性	53723
80264	所有权	60042
76164	位置	76165
65819	客户属性	53723
78136	位置	69814
78085	用工属性	53932
74441	机器属性	53970
65943	具有	104538
67124	客户属性	53723
72954	用工属性	53958
53580	创建	87959
79041	机器属性	53951
75170	位置	75171
76517	产生	88554
65214	具有	100512
62326	具有	101019
79125	位置	75103
87794	处于	54370
80640	机器属性	53970
86445	机器属性	54060
71087	用工属性	53943
65367	具有	101896
82439	产生	93087
61004	具有	99448
68708	具有	106302
72467	位置	72468
77829	所有权	65008
72999	用工属性	53944
71551	所有权	63509
60259	客户属性	53586
82201	所有权	63648
53883	客户属性	53723
62786	具有	104563
93663	指派	53482
91262	属于	54419
65071	客户属性	53586
92818	对应	95707
54963	对应	55098
86732	所有权	68985
71534	机器属性	53937
70426	机器属性	53937
92858	处于	54384
64232	客户属性	53723
79593	用工属性	53932
67198	具有	105025
81596	用工属性	53947
60120	客户属性	53723
84542	所有权	61482
84662	用工属性	53947
85960	用工属性	53932
62083	客户属性	53723
70718	机器属性	53937
81050	用工属性	53958
62468	客户属性	53586
75299	位置	75300
72391	用工属性	53947
89997	对应	95569
60639	具有	96699
72855	机器属性	53970
85320	用工属性	53944
68036	客户属性	59566
72202	所有权	62514
90031	属于	54360
90075	对应	94919
65918	具有	55769
71992	位置	70105
87780	对应	94550
83425	机器属性	53951
85395	用工属性	53928
87086	用工属性	53944
66699	客户属性	60290
80080	机器属性	53936
86436	用工属性	53943
85807	用工属性	53947
80242	机器属性	54006
60904	客户属性	53723
78289	用工属性	53944
85920	用工属性	53955
59505	具有	103743
77966	机器属性	69171
65719	客户属性	53723
65690	具有	99977
69708	所有权	68820
81890	机器属性	54104
54914	处理	54518
70297	产生	90497
74944	用工属性	53952
72518	位置	72519
53634	创建	54764
72779	机器属性	53937
70260	用工属性	53955
80689	所有权	64200
