











1. python create_dataset_files.py

2. python main.py --data ./data/ISKG/ --epochs_gat 100 --epochs_conv 100 --weight_decay_gat 0.00001 --get_2hop True --partial_2hop True --batch_size_gat 1024 --margin 1 --out_channels 50 --drop_conv 0.3 --output_folder ./checkpoints/fb/out/







运行日志:

===============================================================================================

number of unique_entities -> 44039
number of unique_entities -> 4403
number of unique_entities -> 4439
Initialised relations and entities from TransE
Graph created
length of graph keys is  25837
time taken  2.133985757827759
length of neighbors dict is  14607
Total triples count 109992, training triples 101862, validation_triples 4065, test_triples 4065
Opening node_neighbors pickle object
Initial entity dimensions torch.Size([44039, 100]) , relation dimensions torch.Size([20, 100])
Defining model

Model type -> GAT layer with 2 heads used , Initital Embeddings training
length of unique_entities  44039
Number of epochs 100

epoch->  0
Iteration-> 73  , Iteration_time-> 0.2249 , Iteration_loss 0.3693
Iteration-> 74  , Iteration_time-> 0.2297 , Iteration_loss 0.3699
Iteration-> 75  , Iteration_time-> 0.2279 , Iteration_loss 0.3798
Iteration-> 76  , Iteration_time-> 0.2255 , Iteration_loss 0.3707
Iteration-> 77  , Iteration_time-> 0.2248 , Iteration_loss 0.3785
Iteration-> 78  , Iteration_time-> 0.2267 , Iteration_loss 0.4017
Iteration-> 79  , Iteration_time-> 0.2289 , Iteration_loss 0.3856
Iteration-> 80  , Iteration_time-> 0.2256 , Iteration_loss 0.3487
Iteration-> 81  , Iteration_time-> 0.2271 , Iteration_loss 0.3594
Iteration-> 82  , Iteration_time-> 0.2254 , Iteration_loss 0.3660
Iteration-> 83  , Iteration_time-> 0.2267 , Iteration_loss 0.3667
Iteration-> 84  , Iteration_time-> 0.2321 , Iteration_loss 0.3722
Iteration-> 85  , Iteration_time-> 0.2274 , Iteration_loss 0.3488
Iteration-> 86  , Iteration_time-> 0.2292 , Iteration_loss 0.3703
Iteration-> 87  , Iteration_time-> 0.2269 , Iteration_loss 0.3592
Iteration-> 88  , Iteration_time-> 0.2259 , Iteration_loss 0.3547
Iteration-> 89  , Iteration_time-> 0.2270 , Iteration_loss 0.3501
Iteration-> 90  , Iteration_time-> 0.2255 , Iteration_loss 0.3646
Iteration-> 91  , Iteration_time-> 0.2322 , Iteration_loss 0.3601
Iteration-> 92  , Iteration_time-> 0.2269 , Iteration_loss 0.3670
Iteration-> 93  , Iteration_time-> 0.2259 , Iteration_loss 0.3367
Iteration-> 94  , Iteration_time-> 0.2243 , Iteration_loss 0.3457
Iteration-> 95  , Iteration_time-> 0.2253 , Iteration_loss 0.3374
Iteration-> 96  , Iteration_time-> 0.2252 , Iteration_loss 0.3458
Iteration-> 97  , Iteration_time-> 0.2253 , Iteration_loss 0.3595
Iteration-> 98  , Iteration_time-> 0.2256 , Iteration_loss 0.3528
Iteration-> 99  , Iteration_time-> 0.2285 , Iteration_loss 0.3861
Epoch 0 , average loss 0.4470052045583725 , epoch_time 23.136927843093872

epoch->  1
Iteration-> 0  , Iteration_time-> 0.2256 , Iteration_loss 0.3179
Iteration-> 1  , Iteration_time-> 0.2266 , Iteration_loss 0.2958
Iteration-> 2  , Iteration_time-> 0.2253 , Iteration_loss 0.2976
Iteration-> 3  , Iteration_time-> 0.2267 , Iteration_loss 0.3093
Iteration-> 4  , Iteration_time-> 0.2241 , Iteration_loss 0.2720
Iteration-> 5  , Iteration_time-> 0.2253 , Iteration_loss 0.2960
Iteration-> 6  , Iteration_time-> 0.2255 , Iteration_loss 0.3065
Iteration-> 7  , Iteration_time-> 0.2240 , Iteration_loss 0.3182
Iteration-> 8  , Iteration_time-> 0.2242 , Iteration_loss 0.2796
Iteration-> 9  , Iteration_time-> 0.2249 , Iteration_loss 0.3256
Iteration-> 10  , Iteration_time-> 0.2299 , Iteration_loss 0.3007
Iteration-> 11  , Iteration_time-> 0.2244 , Iteration_loss 0.3160
Iteration-> 12  , Iteration_time-> 0.2295 , Iteration_loss 0.2690
Iteration-> 13  , Iteration_time-> 0.2248 , Iteration_loss 0.2994
Iteration-> 14  , Iteration_time-> 0.2268 , Iteration_loss 0.2754
Iteration-> 15  , Iteration_time-> 0.2271 , Iteration_loss 0.2743
Iteration-> 16  , Iteration_time-> 0.2240 , Iteration_loss 0.2998
Iteration-> 17  , Iteration_time-> 0.2276 , Iteration_loss 0.2856
Iteration-> 18  , Iteration_time-> 0.2269 , Iteration_loss 0.2935
Iteration-> 19  , Iteration_time-> 0.2259 , Iteration_loss 0.3003
Iteration-> 20  , Iteration_time-> 0.2249 , Iteration_loss 0.2814
Iteration-> 21  , Iteration_time-> 0.2246 , Iteration_loss 0.2955
Iteration-> 22  , Iteration_time-> 0.2246 , Iteration_loss 0.2836
Iteration-> 23  , Iteration_time-> 0.2300 , Iteration_loss 0.2964
Iteration-> 24  , Iteration_time-> 0.2269 , Iteration_loss 0.2951
Iteration-> 25  , Iteration_time-> 0.2299 , Iteration_loss 0.2865
Iteration-> 26  , Iteration_time-> 0.2265 , Iteration_loss 0.3020
Iteration-> 27  , Iteration_time-> 0.2269 , Iteration_loss 0.2907
Iteration-> 28  , Iteration_time-> 0.2261 , Iteration_loss 0.2747
Iteration-> 29  , Iteration_time-> 0.2296 , Iteration_loss 0.2684
Iteration-> 30  , Iteration_time-> 0.2255 , Iteration_loss 0.2758
Iteration-> 31  , Iteration_time-> 0.2265 , Iteration_loss 0.2638
Iteration-> 32  , Iteration_time-> 0.2251 , Iteration_loss 0.2876
Iteration-> 33  , Iteration_time-> 0.2292 , Iteration_loss 0.3086
Iteration-> 34  , Iteration_time-> 0.2241 , Iteration_loss 0.2790
Iteration-> 35  , Iteration_time-> 0.2258 , Iteration_loss 0.2904
Iteration-> 36  , Iteration_time-> 0.2245 , Iteration_loss 0.2719
Iteration-> 37  , Iteration_time-> 0.2250 , Iteration_loss 0.2764
Iteration-> 38  , Iteration_time-> 0.2289 , Iteration_loss 0.2639
Iteration-> 39  , Iteration_time-> 0.2258 , Iteration_loss 0.2570
Iteration-> 40  , Iteration_time-> 0.2234 , Iteration_loss 0.2465
Iteration-> 41  , Iteration_time-> 0.2254 , Iteration_loss 0.2637
Iteration-> 42  , Iteration_time-> 0.2264 , Iteration_loss 0.2431
Iteration-> 43  , Iteration_time-> 0.2285 , Iteration_loss 0.2743
Iteration-> 44  , Iteration_time-> 0.2264 , Iteration_loss 0.2726
Iteration-> 45  , Iteration_time-> 0.2271 , Iteration_loss 0.2850
Iteration-> 46  , Iteration_time-> 0.2260 , Iteration_loss 0.2822
Iteration-> 47  , Iteration_time-> 0.2274 , Iteration_loss 0.2614
Iteration-> 48  , Iteration_time-> 0.2249 , Iteration_loss 0.2634
Iteration-> 49  , Iteration_time-> 0.2267 , Iteration_loss 0.2657
Iteration-> 50  , Iteration_time-> 0.2258 , Iteration_loss 0.2569
Iteration-> 51  , Iteration_time-> 0.2261 , Iteration_loss 0.2555
Iteration-> 52  , Iteration_time-> 0.2262 , Iteration_loss 0.2522
Iteration-> 53  , Iteration_time-> 0.2300 , Iteration_loss 0.2539
Iteration-> 54  , Iteration_time-> 0.2302 , Iteration_loss 0.2640
Iteration-> 55  , Iteration_time-> 0.2255 , Iteration_loss 0.2689
Iteration-> 56  , Iteration_time-> 0.2269 , Iteration_loss 0.2485
Iteration-> 57  , Iteration_time-> 0.2249 , Iteration_loss 0.2342
Iteration-> 58  , Iteration_time-> 0.2275 , Iteration_loss 0.2629
Iteration-> 59  , Iteration_time-> 0.2279 , Iteration_loss 0.2430
Iteration-> 60  , Iteration_time-> 0.2256 , Iteration_loss 0.2386
Iteration-> 61  , Iteration_time-> 0.2256 , Iteration_loss 0.2350
Iteration-> 62  , Iteration_time-> 0.2254 , Iteration_loss 0.2267
Iteration-> 63  , Iteration_time-> 0.2262 , Iteration_loss 0.2413
Iteration-> 64  , Iteration_time-> 0.2248 , Iteration_loss 0.2338
Iteration-> 65  , Iteration_time-> 0.2252 , Iteration_loss 0.2361
Iteration-> 66  , Iteration_time-> 0.2278 , Iteration_loss 0.2367
Iteration-> 67  , Iteration_time-> 0.2316 , Iteration_loss 0.2391
Iteration-> 68  , Iteration_time-> 0.2259 , Iteration_loss 0.2730
Iteration-> 69  , Iteration_time-> 0.2261 , Iteration_loss 0.2379
Iteration-> 70  , Iteration_time-> 0.2277 , Iteration_loss 0.2438
Iteration-> 71  , Iteration_time-> 0.2260 , Iteration_loss 0.2280
Iteration-> 72  , Iteration_time-> 0.2274 , Iteration_loss 0.2410
Iteration-> 73  , Iteration_time-> 0.2237 , Iteration_loss 0.2389
Iteration-> 74  , Iteration_time-> 0.2275 , Iteration_loss 0.2320
Iteration-> 75  , Iteration_time-> 0.2269 , Iteration_loss 0.2201
Iteration-> 76  , Iteration_time-> 0.2269 , Iteration_loss 0.2427
Iteration-> 77  , Iteration_time-> 0.2267 , Iteration_loss 0.2455
Iteration-> 78  , Iteration_time-> 0.2255 , Iteration_loss 0.2401
Iteration-> 79  , Iteration_time-> 0.2292 , Iteration_loss 0.2439
Iteration-> 80  , Iteration_time-> 0.2268 , Iteration_loss 0.2361
Iteration-> 81  , Iteration_time-> 0.2252 , Iteration_loss 0.2344
Iteration-> 82  , Iteration_time-> 0.2345 , Iteration_loss 0.2212
Iteration-> 83  , Iteration_time-> 0.2241 , Iteration_loss 0.2231
Iteration-> 84  , Iteration_time-> 0.2248 , Iteration_loss 0.2278
Iteration-> 85  , Iteration_time-> 0.2273 , Iteration_loss 0.2294
Iteration-> 86  , Iteration_time-> 0.2292 , Iteration_loss 0.2170
Iteration-> 87  , Iteration_time-> 0.2260 , Iteration_loss 0.1933
Iteration-> 88  , Iteration_time-> 0.2268 , Iteration_loss 0.1983
Iteration-> 89  , Iteration_time-> 0.2247 , Iteration_loss 0.2160
Iteration-> 90  , Iteration_time-> 0.2263 , Iteration_loss 0.2155
Iteration-> 91  , Iteration_time-> 0.2279 , Iteration_loss 0.2274
Iteration-> 92  , Iteration_time-> 0.2257 , Iteration_loss 0.2052
Iteration-> 93  , Iteration_time-> 0.2256 , Iteration_loss 0.2076
Iteration-> 94  , Iteration_time-> 0.2289 , Iteration_loss 0.2060
Iteration-> 95  , Iteration_time-> 0.2262 , Iteration_loss 0.2283
Iteration-> 96  , Iteration_time-> 0.2301 , Iteration_loss 0.2276
Iteration-> 97  , Iteration_time-> 0.2256 , Iteration_loss 0.2237
Iteration-> 98  , Iteration_time-> 0.2246 , Iteration_loss 0.2126
Iteration-> 99  , Iteration_time-> 0.2207 , Iteration_loss 0.2427
Epoch 1 , average loss 0.2594627644121647 , epoch_time 22.654799461364746

epoch->  2
Iteration-> 0  , Iteration_time-> 0.2296 , Iteration_loss 0.1937
Iteration-> 1  , Iteration_time-> 0.2269 , Iteration_loss 0.1810
Iteration-> 2  , Iteration_time-> 0.2256 , Iteration_loss 0.1777
Iteration-> 3  , Iteration_time-> 0.2244 , Iteration_loss 0.1801
Iteration-> 4  , Iteration_time-> 0.2262 , Iteration_loss 0.1681
Iteration-> 5  , Iteration_time-> 0.2256 , Iteration_loss 0.1834
Iteration-> 6  , Iteration_time-> 0.2290 , Iteration_loss 0.1811
Iteration-> 7  , Iteration_time-> 0.2266 , Iteration_loss 0.1615
Iteration-> 8  , Iteration_time-> 0.2258 , Iteration_loss 0.1659
Iteration-> 9  , Iteration_time-> 0.2278 , Iteration_loss 0.1834
Iteration-> 10  , Iteration_time-> 0.2260 , Iteration_loss 0.1819
Iteration-> 11  , Iteration_time-> 0.2255 , Iteration_loss 0.1767
Iteration-> 12  , Iteration_time-> 0.2254 , Iteration_loss 0.1700
Iteration-> 13  , Iteration_time-> 0.2314 , Iteration_loss 0.1925
Iteration-> 14  , Iteration_time-> 0.2262 , Iteration_loss 0.1772
Iteration-> 15  , Iteration_time-> 0.2253 , Iteration_loss 0.1715
Iteration-> 16  , Iteration_time-> 0.2262 , Iteration_loss 0.1840
Iteration-> 17  , Iteration_time-> 0.2251 , Iteration_loss 0.1872
Iteration-> 18  , Iteration_time-> 0.2259 , Iteration_loss 0.1701
Iteration-> 19  , Iteration_time-> 0.2262 , Iteration_loss 0.1772
Iteration-> 20  , Iteration_time-> 0.2277 , Iteration_loss 0.1834
Iteration-> 21  , Iteration_time-> 0.2251 , Iteration_loss 0.1767
Iteration-> 22  , Iteration_time-> 0.2260 , Iteration_loss 0.1952
Iteration-> 23  , Iteration_time-> 0.2267 , Iteration_loss 0.1760
Iteration-> 24  , Iteration_time-> 0.2259 , Iteration_loss 0.1723
Iteration-> 25  , Iteration_time-> 0.2288 , Iteration_loss 0.1751
Iteration-> 26  , Iteration_time-> 0.2263 , Iteration_loss 0.1623
Iteration-> 27  , Iteration_time-> 0.2263 , Iteration_loss 0.1788
Iteration-> 28  , Iteration_time-> 0.2258 , Iteration_loss 0.1754
Iteration-> 29  , Iteration_time-> 0.2310 , Iteration_loss 0.1669
Iteration-> 30  , Iteration_time-> 0.2248 , Iteration_loss 0.1638
Iteration-> 31  , Iteration_time-> 0.2281 , Iteration_loss 0.1705
Iteration-> 32  , Iteration_time-> 0.2248 , Iteration_loss 0.1880
Iteration-> 33  , Iteration_time-> 0.2293 , Iteration_loss 0.1580
Iteration-> 34  , Iteration_time-> 0.2260 , Iteration_loss 0.1688
Iteration-> 35  , Iteration_time-> 0.2258 , Iteration_loss 0.1520
Iteration-> 36  , Iteration_time-> 0.2297 , Iteration_loss 0.1787
Iteration-> 37  , Iteration_time-> 0.2245 , Iteration_loss 0.1626
Iteration-> 38  , Iteration_time-> 0.2253 , Iteration_loss 0.1887
Iteration-> 39  , Iteration_time-> 0.2328 , Iteration_loss 0.1634
Iteration-> 40  , Iteration_time-> 0.2272 , Iteration_loss 0.1845
Iteration-> 41  , Iteration_time-> 0.2250 , Iteration_loss 0.1523
Iteration-> 42  , Iteration_time-> 0.2250 , Iteration_loss 0.1701
Iteration-> 43  , Iteration_time-> 0.2253 , Iteration_loss 0.1572
Iteration-> 44  , Iteration_time-> 0.2263 , Iteration_loss 0.1668
Iteration-> 45  , Iteration_time-> 0.2262 , Iteration_loss 0.1639
Iteration-> 46  , Iteration_time-> 0.2253 , Iteration_loss 0.1660
Iteration-> 47  , Iteration_time-> 0.2248 , Iteration_loss 0.1743
Iteration-> 48  , Iteration_time-> 0.2253 , Iteration_loss 0.1673
Iteration-> 49  , Iteration_time-> 0.2278 , Iteration_loss 0.1797
Iteration-> 50  , Iteration_time-> 0.2254 , Iteration_loss 0.1629
Iteration-> 51  , Iteration_time-> 0.2250 , Iteration_loss 0.1592
Iteration-> 52  , Iteration_time-> 0.2273 , Iteration_loss 0.1510
Iteration-> 53  , Iteration_time-> 0.2270 , Iteration_loss 0.1693
Iteration-> 54  , Iteration_time-> 0.2256 , Iteration_loss 0.1867
Iteration-> 55  , Iteration_time-> 0.2244 , Iteration_loss 0.1379
Iteration-> 56  , Iteration_time-> 0.2250 , Iteration_loss 0.1574
Iteration-> 57  , Iteration_time-> 0.2276 , Iteration_loss 0.1550
Iteration-> 58  , Iteration_time-> 0.2255 , Iteration_loss 0.1551
Iteration-> 59  , Iteration_time-> 0.2268 , Iteration_loss 0.1432
