269
28910	31558	13
158	27577	8
157	28550	8
28339	31033	13
29505	30978	13
28191	30234	13
158	909	8
27924	29542	13
29460	30969	13
27196	28403	11
28233	29674	13
28960	30003	13
28074	29814	13
153	28089	8
27600	30353	13
14034	28769	11
27939	29858	13
135	74	8
0	28068	8
28033	1225	13
27772	29480	13
17854	27936	11
27758	30165	13
12139	27746	11
26667	28004	11
158	27574	8
27063	27532	11
819	1109	13
28623	31644	13
19002	28881	11
158	28931	8
28664	30509	13
18416	28763	11
153	28080	8
23945	29078	11
154	29410	8
158	28919	8
161	31537	14
27712	1296	13
129	27503	8
102	29528	8
158	27605	8
28318	30004	13
163	27952	8
18602	874	11
27997	30179	13
14224	28997	11
163	28474	8
163	28542	8
12366	27726	11
18498	28031	11
158	27931	8
157	29246	8
135	27899	8
28645	29553	13
158	27855	8
28934	31974	13
158	901	8
29459	29987	13
18608	27850	11
27766	1383	13
164	28582	8
15529	27483	11
28373	29966	13
102	28295	8
135	27406	8
164	27144	8
17959	27840	11
29202	32171	13
135	28266	8
135	28531	8
28893	30064	13
29244	30827	13
25493	944	11
161	32299	14
154	29037	8
18080	29524	11
135	28917	8
28641	30328	13
29601	30963	13
132	28628	8
0	29233	8
12117	637	11
73	1395	13
29401	30813	13
29357	30889	13
12645	28061	11
27721	1313	13
29129	30546	13
27785	1401	13
29397	30711	13
23038	27354	11
29454	32307	13
161	32269	14
14420	27699	11
27716	1319	13
28629	1272	13
28128	29744	13
29131	30607	13
27853	30097	13
164	27958	8
27932	31163	13
27665	29686	13
154	27763	8
15047	27835	11
135	27407	8
154	28564	8
135	28233	8
158	29072	8
28471	1197	13
28143	29983	13
16501	29164	11
27806	31429	13
28507	30214	13
11684	27839	11
28386	29587	13
28935	30745	13
18229	28256	11
28060	29933	13
28434	30423	13
102	28101	8
17867	29112	11
135	28113	8
153	27944	8
874	1226	13
18522	27597	11
29671	30824	13
28164	31590	13
11525	788	11
153	28412	8
28470	31035	13
29022	32067	13
29225	30751	13
18414	1022	11
12645	28943	11
129	870	8
156	29333	8
29269	30812	13
153	28948	8
12434	27634	11
12921	29058	11
942	31133	13
13506	895	11
29459	1362	13
806	30731	13
28404	30567	13
161	31436	14
135	28613	8
28143	29895	13
28062	30153	13
158	997	8
129	662	8
161	31211	14
17764	28090	11
29038	30450	13
28331	29920	13
27196	29130	11
27504	29677	13
157	29318	8
29397	30710	13
154	29620	8
13720	29205	11
27579	30174	13
29193	30543	13
27881	30188	13
17983	29316	11
161	32055	14
135	28333	8
16344	27327	11
153	28000	8
25566	28024	11
27671	29835	13
161	31577	14
18224	28888	11
164	28384	8
163	29373	8
161	31071	14
29289	30855	13
13890	29144	11
132	29378	8
27002	28303	11
102	28973	8
13015	29071	11
158	27839	8
25737	28075	11
18181	28585	11
28328	29576	13
153	28445	8
28504	30206	13
163	27937	8
158	821	8
29339	30972	13
157	29084	8
161	31808	14
394	1003	11
129	27538	8
26271	27585	11
24819	29379	11
29222	30749	13
1005	1387	13
28003	29908	13
135	28881	8
27591	29569	13
135	860	8
29515	30929	13
27505	29745	13
27883	1192	13
135	28488	8
18302	27740	11
158	28045	8
28434	31603	13
13702	29028	11
102	28350	8
17477	29139	11
18105	28638	11
19509	29060	11
17232	27620	11
12929	27823	11
102	28513	8
29459	1289	13
18372	28070	11
157	28945	8
163	28688	8
921	1275	13
28360	31451	13
161	31643	14
161	31558	14
157	27773	8
28552	32008	13
161	32232	14
156	27889	8
18648	29151	11
161	31108	14
18410	28063	11
135	28116	8
158	27867	8
28072	29887	13
942	1342	13
17069	28952	11
15715	1002	11
929	29703	13
930	29589	13
28213	29766	13
29137	32054	13
29584	30372	13
28962	30576	13
17764	28376	11
21477	28484	11
158	846	8
18434	28976	11
161	31394	14
163	28980	8
154	840	8
22799	28121	11
29346	30396	13
0	29515	8
164	29138	8
27828	1160	13
154	639	8
29076	30421	13
27343	73	11
28317	30124	13
18485	29427	11
18226	28779	11
29073	30406	13
14113	28964	11
18105	880	11
102	28340	8
27538	31123	13
