98992
17396	498	2
17872	28628	11
14797	14860	3
14414	382	2
20420	501	2
17200	397	0
22023	382	2
17774	397	0
161	31910	14
355	36993	10
161	32066	14
4751	177	1
28402	43017	4
25511	25512	3
28960	31874	13
19875	4844	19
22134	9953	19
27947	29778	13
2217	32825	10
21011	400	0
31932	44023	4
28404	27520	7
15820	382	2
19547	2476	19
1372	100	12
27588	31153	13
18015	28960	11
8520	36564	10
27628	27912	9
23751	382	2
26593	4393	19
2588	177	1
1150	44007	4
24093	388	0
21097	13570	2
18464	388	0
6842	177	1
161	31818	14
22613	382	2
15905	376	0
23884	415	2
20686	20687	3
7907	34241	10
31521	44023	4
29288	790	6
29665	900	7
5909	35084	10
12746	697	0
27966	31521	13
22876	28887	10
24606	382	2
28014	31188	13
22107	382	2
2234	35946	10
27073	382	2
10948	177	1
24265	8907	19
18101	697	0
4565	177	1
21902	376	0
19707	681	3
32201	43994	4
26854	381	2
30502	104	12
15605	625	3
23175	9393	19
28320	29924	13
16478	400	0
24093	389	0
14234	12541	3
27151	444	2
19533	382	2
20628	382	2
22340	8030	19
18880	382	2
13267	427	3
23473	382	2
18285	397	0
161	32235	14
25658	389	0
15071	382	2
5043	36236	10
4673	35800	10
11929	10579	19
24974	382	2
21438	382	2
27086	23148	3
26684	12541	3
27421	12932	3
20066	377	0
18516	11379	2
24544	5119	19
25963	412	3
24491	392	0
14912	382	2
29912	105	12
12580	12318	3
26390	382	2
24614	389	0
31074	44001	4
18269	382	2
17239	11443	3
70	400	0
17305	17235	3
13432	377	0
5781	139	1
12650	498	2
24801	382	2
28417	774	7
19905	7049	19
19977	11290	19
19292	14399	2
30770	116	12
14049	392	0
29221	790	6
28276	774	7
17773	403	0
9881	40507	10
11746	11747	3
31094	44001	4
20469	382	2
157	28522	8
17997	2872	19
945	31073	13
14053	440	3
957	844	9
6652	139	1
11953	403	0
29262	900	7
26043	368	2
2538	177	1
15810	382	2
15319	382	2
28423	756	6
12962	11646	3
15844	382	2
23846	377	0
9994	177	1
15338	368	2
26835	396	2
23480	2981	19
6753	39646	10
18983	368	2
22828	377	0
20637	11226	19
22668	389	0
3340	38825	10
25434	389	0
2077	177	1
14620	392	0
12562	377	0
26686	444	2
31212	43959	4
8492	37339	10
21106	396	2
13145	365	3
19292	382	2
28432	790	6
28298	774	7
12960	28768	11
28187	790	6
31768	44013	4
26157	546	3
27209	389	0
16300	389	0
20548	389	0
31535	43959	4
4362	177	1
7336	177	1
29638	31949	13
30979	112	12
19100	482	2
25152	389	0
19173	17114	2
5490	39510	10
27534	1125	13
28656	29470	13
17603	10338	19
23900	5946	19
12987	377	0
18003	697	0
24432	11413	19
4713	177	1
15779	368	2
10331	40969	10
21767	438	3
13692	3924	19
14496	389	0
951	774	7
17861	382	2
28965	774	7
5101	34488	10
16013	15966	3
529	8741	19
21730	3244	19
26353	26354	3
121	1834	5
4267	34849	10
16772	444	2
22595	8828	19
154	635	8
18303	382	2
18539	27623	10
4270	177	1
25625	8996	19
13282	392	0
30100	105	12
10686	41490	10
23075	382	2
22593	400	0
27383	12057	2
17719	380	2
26422	4952	19
19824	19825	3
29084	43133	4
8255	177	1
17902	382	2
29517	832	6
8782	177	1
12993	377	0
23060	6837	19
13431	399	3
18416	28616	10
6172	40114	10
27436	8195	19
10216	40564	10
13606	382	2
28509	27520	7
19795	748	2
6471	177	1
25996	697	0
32172	43999	4
14231	377	0
7307	177	1
26275	400	0
20307	457	3
5442	38191	10
18539	830	10
21284	382	2
26427	389	0
14678	697	0
13514	12875	3
22623	402	3
3687	39579	10
13765	7090	19
26539	403	0
28418	774	7
14049	12437	3
20573	3832	19
17943	382	2
333	33934	10
24761	4596	19
22585	389	0
15071	392	0
680	681	3
16805	415	2
31904	44014	4
3272	39102	10
28891	42634	4
28326	42258	4
24301	389	0
25433	392	0
