58
12246	29254	10
19998	1036	10
16547	787	10
18494	636	10
15715	27497	10
15983	28554	10
18224	27627	10
18197	28108	10
18097	772	10
18557	28604	10
18485	29345	10
18289	796	10
17069	796	10
12991	28565	10
12830	28716	10
16344	772	10
12741	27770	10
18102	28440	10
12552	27841	10
12139	833	10
527	27576	10
13139	27875	10
18618	894	10
13444	830	10
16694	941	10
17956	941	10
14772	27674	10
18482	796	10
18493	28721	10
13662	27582	10
21241	27711	10
18329	28716	10
23474	27627	10
13452	941	10
17959	29206	10
12285	28653	10
12139	27633	10
25005	28180	10
19509	28025	10
14273	779	10
24257	27653	10
25587	29120	10
25587	27627	10
16344	796	10
13877	796	10
14554	27508	10
15536	27743	10
13290	27627	10
14089	27841	10
13714	28131	10
25131	29295	10
18519	815	10
15675	27887	10
17012	27841	10
12929	27616	10
13877	27657	10
18164	28453	10
25621	28985	10
