1840
5987	177	1
21783	3539	19
16356	12509	3
8173	177	1
7541	177	1
29822	105	12
16095	12930	3
15740	4471	19
7847	177	1
6000	177	1
1034	796	9
18766	18767	3
24336	3849	19
19744	6876	19
27648	790	6
5644	177	1
12578	11183	19
4920	177	1
927	756	6
26208	2087	19
20977	15195	3
23383	13853	3
20333	6393	19
23398	5801	19
13779	5493	19
22214	12214	3
1739	11305	19
16391	4731	19
17130	2245	19
28393	28408	9
28583	904	9
9815	2080	1
24689	4934	19
20938	3664	19
20209	12932	3
6054	177	1
2133	177	1
18473	365	3
25853	7536	19
28082	28077	9
21072	2105	19
10732	2080	1
29913	104	12
17061	11127	19
30045	104	12
24006	528	3
24842	623	3
16287	699	3
29953	94	12
12684	12431	3
7751	177	1
6482	177	1
5875	177	1
5576	177	1
5240	177	1
28976	756	6
11271	177	1
28299	779	9
14126	12433	3
5426	177	1
21549	3433	19
28030	756	6
12703	4416	19
29456	774	7
16589	7257	19
23426	7739	19
26580	6340	19
14218	11037	19
10864	248	1
14070	440	3
11303	177	1
24527	9867	19
937	97	12
26786	12103	3
26799	12433	3
11520	9251	19
17202	16592	3
29551	105	12
20178	528	3
7156	177	1
29630	106	12
22544	8448	19
17352	12574	3
6886	177	1
4009	177	1
21460	3841	19
321	177	1
14738	11646	3
14102	5443	19
21694	12047	3
11951	10579	19
12759	5224	19
22780	8483	19
11289	2080	1
20786	12445	3
27929	790	6
18341	13125	3
28756	790	6
29598	844	9
14068	2484	19
21449	3612	19
28775	779	9
27123	12445	3
792	765	7
3700	177	1
12986	9273	19
13659	465	3
22826	3067	19
21333	6087	19
21215	6252	19
7914	2080	1
11448	7334	19
23683	11487	3
17943	6328	19
21902	438	3
27946	27918	9
7663	177	1
8554	177	1
3169	177	1
27632	790	6
20153	6298	19
28209	28210	9
18883	12160	3
8511	177	1
25946	500	3
28673	774	7
2205	177	1
9394	177	1
25532	8567	19
19566	13021	3
19836	12622	3
4167	177	1
13346	2201	19
2111	177	1
21068	9145	19
18643	6005	19
4864	177	1
1236	118	12
21971	6591	19
5159	175	1
24075	20180	3
26819	2048	19
13688	3564	19
14944	149	19
18512	3187	19
3221	177	1
22960	7983	19
856	765	7
25412	402	3
14729	5810	19
26847	8210	19
27902	774	7
26859	11539	3
19907	13534	3
10650	2080	1
3298	177	1
23712	4345	19
14330	11354	19
28699	790	6
22902	12116	3
26685	3175	19
30031	111	12
28965	756	6
24653	7768	19
11623	7153	19
21375	625	3
20787	6736	19
14317	12163	3
936	100	12
25266	2202	19
10129	2080	1
746	5608	19
2616	177	1
15715	528	3
23091	2974	19
142	177	1
18091	12220	3
30035	106	12
10990	2080	1
1994	177	1
24015	3944	19
7936	177	1
28243	774	7
11147	177	1
26705	642	3
18412	11487	3
27765	27545	9
14227	12443	3
10139	2080	1
28014	774	7
24278	12723	3
25285	11225	19
5136	139	1
14506	3108	19
28669	765	7
10239	2080	1
2496	177	1
13117	2077	19
19558	18697	3
1610	1842	5
28089	790	6
8024	177	1
27126	3191	19
2109	177	1
13902	12244	3
28953	774	7
12924	12556	3
2237	139	1
37	9942	19
27840	27987	9
12914	611	3
5657	177	1
26241	12131	3
16374	11066	19
30814	111	12
18591	12509	3
19455	14859	3
16630	7858	19
23947	3377	19
16104	2530	19
22206	12589	3
13863	4283	19
24254	10864	19
18866	402	3
20808	4190	19
30110	111	12
19075	11695	3
23141	7086	19
3979	248	1
20428	4305	19
18436	11354	19
11113	2080	1
25252	681	3
12213	12214	3
14253	8044	19
13586	11557	3
23685	12445	3
2359	177	1
13109	8186	19
9550	177	1
28712	28716	9
18557	4379	19
23819	16852	3
27195	8067	19
8632	177	1
3366	177	1
13018	12443	3
12902	4511	19
22017	7032	19
5701	177	1
18646	2198	19
4738	177	1
22465	2674	19
18682	623	3
19055	199	19
27914	27520	7
16267	12023	3
23568	5578	19
14438	9999	19
8578	177	1
3823	177	1
27769	790	6
15399	7017	19
9326	177	1
21163	251	19
16408	611	3
30355	109	12
19986	8870	19
28395	27559	7
5591	177	1
24048	528	3
29498	29303	9
13356	9623	19
14230	12605	3
23760	12592	3
9487	177	1
21571	4382	19
18771	7289	19
662	766	6
29404	27743	9
20767	12220	3
8968	177	1
26120	4380	19
23630	10811	19
3352	177	1
16751	233	19
76	774	7
29008	774	7
25269	10703	19
10492	2080	1
8989	177	1
25634	16659	3
28020	636	9
28089	27550	7
28707	796	9
29256	836	9
19743	463	3
4348	177	1
13517	12103	3
26729	625	3
27191	6048	19
27823	774	7
15479	4879	19
22979	14518	3
19210	12091	3
14010	6775	19
23755	12615	3
27678	774	7
11066	2080	1
17701	10419	19
28853	790	6
12837	365	3
23137	7019	19
22199	14334	3
28838	774	7
28650	790	6
13368	5963	19
7073	177	1
29244	790	6
16227	11354	19
24112	8127	19
13703	4085	19
24085	7944	19
1292	105	12
11404	11480	3
14844	14845	3
27968	27969	9
5817	177	1
14988	10852	19
17050	12720	3
28373	774	7
12711	500	3
28749	774	7
10137	2080	1
1015	785	9
11797	10576	19
4273	177	1
20957	440	3
29203	27912	9
11983	10579	19
25603	6097	19
28960	790	6
13063	12288	3
26496	12443	3
28385	766	6
17630	10357	19
29644	27841	9
15213	11009	19
28531	790	6
19319	5918	19
4232	177	1
20310	6665	19
28003	790	6
2505	177	1
27028	5072	19
13572	13573	3
2464	177	1
28991	27559	7
10680	177	1
585	10919	19
13314	4562	19
1297	104	12
9234	177	1
6117	203	1
29223	756	6
29096	790	6
16143	16165	3
28765	27709	9
14384	5500	19
28107	28108	9
28955	27528	7
3523	177	1
22567	6258	19
28947	756	6
9996	177	1
18770	402	3
25500	2437	19
26983	12091	3
12444	3824	19
27323	12607	3
25403	4082	19
20885	544	3
21861	528	3
21905	13528	3
12035	2932	19
26225	5084	19
9936	203	1
13616	367	3
19092	8082	19
18028	13005	3
27450	10891	19
21734	7073	19
22827	4666	19
18132	761	3
20082	5251	19
1315	104	12
15461	457	3
26282	6904	19
12790	625	3
28430	774	7
19862	2914	19
165	177	1
30625	100	12
496	10550	19
26253	3365	19
30212	106	12
2950	177	1
7392	139	1
25453	5899	19
23490	9354	19
307	177	1
26594	5732	19
7060	177	1
29590	106	12
26522	7284	19
3427	177	1
10002	177	1
8838	177	1
14178	7971	19
15052	13853	3
1019	1020	9
6782	175	1
17478	10127	19
7075	177	1
20697	11413	19
4494	177	1
25752	2237	19
4148	177	1
26871	9593	19
29861	91	12
10841	2080	1
1019	765	7
27758	774	7
27100	12128	3
27893	774	7
15800	10678	19
26449	500	3
3967	177	1
2284	177	1
8	177	1
9255	177	1
19590	3650	19
27620	767	9
24974	623	3
30130	107	12
27667	774	7
18450	12488	3
27669	815	9
1018	774	7
18661	7068	19
22291	3675	19
18652	386	3
3026	177	1
5151	177	1
18290	11354	19
