137
153	28984	8
102	28350	8
163	29373	8
102	29335	8
25737	28075	11
23738	29644	11
164	28986	8
18648	29151	11
129	870	8
12366	27726	11
12139	27514	11
15835	27568	11
18580	28010	11
13714	29185	11
157	28974	8
157	28046	8
154	879	8
18458	27777	11
15047	27835	11
14113	28964	11
161	31436	14
164	27144	8
18453	29332	11
135	74	8
21477	28484	11
25018	28419	11
132	29378	8
0	28284	8
13015	29071	11
161	31535	14
163	28500	8
0	29515	8
154	27763	8
16909	29247	11
135	27800	8
129	27538	8
154	930	8
29330	32037	13
161	31643	14
25587	29119	11
157	28635	8
158	821	8
18555	29090	11
102	28973	8
18410	28063	11
102	28101	8
13702	29028	11
18051	28181	11
164	28883	8
28164	31590	13
161	31577	14
18229	28256	11
13714	28157	11
161	31852	14
102	28295	8
135	27407	8
12117	1025	11
154	957	8
18080	29524	11
156	27889	8
17872	29419	11
16327	28757	11
157	29246	8
135	28966	8
157	28891	8
161	31593	14
29137	32054	13
158	27577	8
18416	28763	11
154	28564	8
161	31868	14
18498	28031	11
18226	28779	11
13720	29205	11
163	28980	8
155	27873	8
17983	29316	11
102	28134	8
12117	27533	11
102	29424	8
135	27880	8
164	29138	8
28339	31033	13
158	27855	8
163	28542	8
22799	28121	11
102	27640	8
164	28362	8
158	27466	8
164	28847	8
24819	29379	11
161	32254	14
25566	28024	11
129	662	8
26254	28394	11
28471	1197	13
158	846	8
158	951	8
28701	31657	13
18093	28200	11
161	32232	14
14224	28997	11
154	27523	8
18013	29446	11
157	29084	8
21679	27646	11
158	771	8
157	28550	8
16344	27327	11
18121	28767	11
161	31537	14
135	860	8
161	31776	14
18405	28951	11
18414	1022	11
28470	31035	13
17764	28090	11
163	29287	8
135	28333	8
18553	29202	11
26957	28178	11
27196	29130	11
153	28412	8
16068	839	11
29454	32307	13
102	28092	8
153	28862	8
27094	28429	11
23821	27500	11
130	28188	8
135	28266	8
0	29019	8
18602	874	11
27063	27532	11
161	31924	14
17783	27901	11
163	28465	8
